Operating System,Android 9.0 (Pie) ROG UI
Chipset,Qualcomm SDM855 Snapdragon 855+ (7 nm)
CPU,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)
GPU,Adreno 640 (700 MHz)
Technology,GSM / HSPA / LTE
Speed,HSPA 42.2/5.76 Mbps LTE-A (5CA) Cat18 (Cat20 Ultimate edition) 1200/150 Mbps
Date Of Announce,2019 July
Dimenstion,171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in)
Weight,240 g (8.47 oz)
Build,Front glass (Gorilla Glass 6) back glass aluminum frame
SIM Slot,Dual SIM (Nano-SIM dual stand-by)
Display,AMOLED capacitive touchscreen 16M colors
Display Size,6.59 inches 106.6 cm2 (~80.3% screen-to-body ratio)
Display Resolution,1080 x 2340 pixels 19.5:9 ratio (~391 ppi density)
Display Protection,Corning Gorilla Glass 6
Memory Slot,No
Internal Memory,128GB 8GB RAM 256GB 12GB RAM 512GB 12GB RAM 1TB 12GB RAM
Rear Camera,48 MP f/1.8 26mm (wide) 1/2" 0.8µm PDAF Laser AF13 MP f/2.4 11mm (ultrawide)
Rear Camera Features,LED flash HDR panorama
Rear Camera Video,2160p@30/60fps 1080p@30/60/240fps 720p@480fps; gyro-EIS (except @240/480fps)
Front Camera,24MP f/2.2 0.9µm
Front Camera Features,Panorama HDR
Front Camera Video,1080p@30fps
WLAN,Wi-Fi 802.11 a/b/g/n/ac/ad dual-band Wi-Fi Direct hotspot
Bluetooth,5.0 A2DP LE aptX HD
GPS,Yes with dual-band A-GPS GLONASS BDS GALILEO QZSS
NFC,Yes
Radio,FM radio
USB,3.1 Type-C 1.0 reversible connector; accessory connector
Sensors,Fingerprint (under display optical) accelerometer gyro proximity compass
Battery,Non-removable Li-Po 6000 mAh battery
Colors,Matte Black Glossy Black
